descriptor,dimensions,metaphor_types,flag
"a small blade is sitting just inside my hip bone,",['unspecified'],['violence_with_object'],False
black cloud that I was in,['unspecified'],"['weather', 'transformative_state']",False
my womb is so tight that its about to explode at any moment.,['unspecified'],['motion_violent'],False
its really tight ,['unspecified'],['other'],True
I'm on a boat in very choppy waters. ,['unspecified'],['other'],True
its going to burst ,['unspecified'],['other'],True
it's crawling ,['unspecified'],['other'],True
the nagging feeling of ,['unspecified'],['other'],True
clitoral throbbing ,['sensory'],['other'],False
I'm carrying a 5 pound weight in my abdomen all the time,['unspecified'],"['violent_action', 'weight_pressure']",False
 goes to my back and left hip and radiates down my leg,['unspecified'],['motion_forceful'],False
 a 10/40 pregnancy,['unspecified'],['other'],True
ur peeing acid,['unspecified'],['other'],True
"someone has stabbed me with a large hunting knife, right in my uterus/ovary",['unspecified'],['violence_with_object'],False
"someone cut me deep all over of my insides with a thin, sharp knife",['sensory'],['violence_with_object'],False
I have paper cuts all over inside,['unspecified'],['other'],True
"my ovaries are gonna explode, ",['unspecified'],['motion_violent'],False
shoots into my back ,['unspecified'],['motion_forceful'],False
like tingling electric shocks,"['sensory', 'metaphorical']",['other'],False
it is gonna rip apart,['unspecified'],['violent_action'],False
I have to push something out,['unspecified'],['childbirth'],False
[my ovaries] they're gonna tear apart ,['unspecified'],"['violent_action', 'injury']",False
on top of blowing up,['unspecified'],['other'],True
"there bruised badly, like someones pressing the bruise ",['metaphorical'],"['weight_pressure', 'injury']",False
its hurts to breath,['unspecified'],['other'],True
its gonna rip apart and blow up,['unspecified'],['violent_action'],False
I had very tiny people in there with ropes tied tightly around my insides and pulling down,['unspecified'],['violent_action'],False
someone cut into my lower abdomen ,['unspecified'],['other'],True
and then dumped in a bucket full of hot coals. ,['unspecified'],['other'],True
a blister,['unspecified'],['other'],True
my uterus is being stabbed,['unspecified'],['violence_with_object'],False
someone was twisting my insides,['unspecified'],['violent_action'],False
I've been kicked in the gut,['unspecified'],['other'],True
coupled with burning  ,['sensory'],['heat_temperature'],False
